Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Luxembourg,2018,37406,37469,74875,Luxembourg,Luxembourg,116926.759593905,607950.0,0.06163171313430381,0.061528086191298625
Luxembourg,2019,38116,38184,76300,Luxembourg,Luxembourg,112696.649059674,620001.0,0.06158699744032671,0.061477320197870645
Luxembourg,2020,20148,20187,40335,Luxembourg,Luxembourg,116860.02817236,630419.0,0.032021560263887985,0.0319596966461988
Luxembourg,2021,23836,23848,47684,Luxembourg,Luxembourg,134965.815442152,640064.0,0.03725877412258774,0.03724002599740026
Luxembourg,2022,34869,34926,69795,Luxembourg,Luxembourg,123719.658915996,653103.0,0.053477016642091674,0.053389740975007004
Luxembourg,2023,36009,36022,72031,Luxembourg,Luxembourg,133230.619178899,666430.0,0.05405218852692706,0.054032681601968696
Luxembourg,2024,35949,35975,71924,Luxembourg,Luxembourg,137781.681659123,677012.0,0.053137905975078725,0.05309950192906477
Malta,2016,22210,22292,44502,Malta,Malta,26459.0770929988,454505.0,0.04904676516209943,0.04886634910507035
Malta,2017,25410,25379,50789,Malta,Malta,30317.2443175543,467106.0,0.05433242133477198,0.0543987874272649
Malta,2018,28420,28248,56668,Malta,Malta,33382.2677499267,483903.0,0.05837533555278641,0.05873077868911745
Malta,2019,29286,28895,58181,Malta,Malta,32421.9179752262,503912.0,0.05734136119004905,0.05811729032053216
Malta,2020,12217,12090,24307,Malta,Malta,31823.4363934505,515490.0,0.023453413257289182,0.02369978079109197
Malta,2021,16274,16225,32499,Malta,Malta,38096.8360735119,518150.0,0.03131332625687542,0.03140789346714272
Malta,2022,24216,24260,48476,Malta,Malta,35638.8869457406,531113.0,0.0456776618158471,0.04559481692219923
Malta,2023,29579,29617,59196,Malta,Malta,40905.8059585057,552747.0,0.05358147579272253,0.053512728246376734
Malta,2024,33487,33496,66983,Malta,Malta,43898.5781808597,568847.0,0.05888402329624662,0.05886820181876673
Netherlands,2016,266778,266854,533632,Netherlands,Netherlands,46808.5291492503,17030314.0,0.015669352896253118,0.015664890265675666
Netherlands,2017,274602,274745,549347,Netherlands,Netherlands,49513.6817346384,17131296.0,0.016037607429116862,0.01602926013303372
Netherlands,2018,280073,280094,560167,Netherlands,Netherlands,53955.0770024266,17231624.0,0.016254649010447302,0.01625343032090301
Netherlands,2019,279091,279035,558126,Netherlands,Netherlands,53554.9007491475,17344874.0,0.01608746192102635,0.01609069054061736
Netherlands,2020,132898,133045,265943,Netherlands,Netherlands,53467.9277413737,17441500.0,0.0076280709801335896,0.007619642805951323
Netherlands,2021,156844,156892,313736,Netherlands,Netherlands,60141.9880911492,17533044.0,0.008948360592718526,0.008945622904955921
Netherlands,2022,232914,232961,465875,Netherlands,Netherlands,59123.318556487,17700982.0,0.013160908247915284,0.013158253027995849
Netherlands,2023,251203,251347,502550,Netherlands,Netherlands,63515.6030780019,17877117.0,0.014059705488306644,0.014051650498231903
Netherlands,2024,266423,266442,532865,Netherlands,Netherlands,67520.4218956281,17993485.0,0.014807692895511903,0.014806636957765547
Poland,2016,177172,177216,354388,Poland,Poland,12464.0110508476,37970087.0,0.004667252935185532,0.00466609412825417
Poland,2017,193048,193103,386151,Poland,Poland,13913.3402919927,37974826.0,0.005085026591036915,0.0050835782631367425
Poland,2018,214235,214268,428503,Poland,Poland,15658.2120316794,37974750.0,0.00564238079250028,0.005641511794021027
Poland,2019,221768,221911,443679,Poland,Poland,15874.5220531254,37965475.0,0.0058450737150002735,0.005841307134969337
Poland,2020,97122,97281,194403,Poland,Poland,16150.9304813473,37515748.0,0.002593071048456771,0.002588832828283205
Poland,2021,118961,119163,238124,Poland,Poland,18635.5104895754,36981559.0,0.0032222275972735494,0.0032167654154331353
Poland,2022,191222,191257,382479,Poland,Poland,18891.2121169279,36821749.0,0.005194131327113223,0.0051931808019222555
Poland,2023,216283,216252,432535,Poland,Poland,22145.2660647429,36687353.0,0.005894456326680205,0.005895301304512212
